,title,location,company,salary,city,state,parsed_salary
7291,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7292,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7293,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7294,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7295,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7296,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7297,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7298,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7299,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7300,Well Cementing Research Scientist,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7301,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7302,Research Scientist [Exp. with Machine Learning & Computer Vi...,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7303,Expert Data Analyst/ SQL Expert,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7304,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7305,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7306,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7307,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7308,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7309,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7310,Well Cementing Research Scientist,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7311,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7312,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7313,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7314,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7315,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7316,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7317,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7318,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7319,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7320,Well Cementing Research Scientist,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7321,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7322,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7323,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7324,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7325,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7326,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7327,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7328,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7329,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7330,Well Cementing Research Scientist,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7331,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7332,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7333,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7334,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7335,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7336,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7337,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7338,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7339,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7340,Well Cementing Research Scientist,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7341,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7342,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7343,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
7344,Software Development Engineer – Emerging AWS Machine Learnin...,United States,Amazon Corporate LLC,NaN,Houston,TX,NaN
7345,Data Scientist – Predictive Analytics,"Houston, TX",Gallup,NaN,Houston,TX,NaN
7346,Machine Learning Expert,"Houston, TX",Arundo Analytics,NaN,Houston,TX,NaN
7347,Image Data Scientist (TEC0001YO),"Houston, TX",HX5,NaN,Houston,TX,NaN
7348,Project Associate,"Houston, TX 77077 (West Houston area)","Geosyntec Consultants, Inc.",NaN,Houston,TX,NaN
7349,Software Development Engineer – New AWS Machine Learning- Re...,"Houston, TX 77042 (West Houston area)",Burnett Specialists,"$60,000 - $95,000 a year",Houston,TX,77500.0
7350,Well Cementing Research Scientist,"Houston, TX",Edge Recruitment Solutions,NaN,Houston,TX,NaN
7351,"Software Development Engineer, Big Data- Relocation Opportun...","Houston, TX",alliantgroup,NaN,Houston,TX,NaN
7352,Expert Data Analyst/ SQL Expert,United States,"Amazon Web Services, Inc.",NaN,Houston,TX,NaN
7353,Research Scientist [Exp. with Machine Learning & Computer Vi...,"Houston, TX",C-Crete Technologies,NaN,Houston,TX,NaN
