budget,studio,sound,aspect,color,aspect_ratio
"[u'\nBudget:        $11,500,000        \n\n      (estimated)\n']","[u'Greenwich Film Productions', u'Herald Ace', u'Nippon Herald Films']","[u'Dolby', u'70 mm 6-Track']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $18,500,000        \n\n      (estimated)\n']","[u'Twentieth Century Fox Film Corporation', u'Brandywine Productions', u'SLM Production Group']","[u'70 mm 6-Track', u'Dolby']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
[],"[u'Belarusfilm', u'Mosfilm']",[u'Stereo'],,"[u' Black and White', u'Color']",[u'\nAspect Ratio: 1.37 : 1\n    ']
"[u'\nBudget:        $6,000,000        \n\n      (estimated)\n']","[u'Hemdale', u'Cinema 86']",[u'Dolby Stereo'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $8,000,000        \n\n      (estimated)\n']","[u'Columbia Pictures Corporation', u'Act III', u'Act III Communications']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $30,000,000        \n\n      (estimated)\n']","[u'Natant', u'Stanley Kubrick Productions', u'Warner Bros.']",[u'Mono'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $16,000,000        \n\n      (estimated)\n']","[u'Act III Communications', u'Buttercup Films Ltd.', u'The Princess Bride Ltd.']",[u'Dolby'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $28,000,000        \n\n      (estimated)\n']","[u'Twentieth Century Fox Film Corporation', u'Gordon Company', u'Silver Pictures']","[u'70 mm 6-Track', u'Dolby Stereo']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $3,700,000        \n\n      (estimated)\n']","[u'Shinchosha Company', u'Studio Ghibli']","[u'Mono', u'Dolby']",,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $5,000,000        \n\n      (estimated)\n']","[u'Cristaldifilm', u'Les Films Ariane', u'Rai 3']",[u'Dolby'],,[u'Color'],[u'\nAspect Ratio: 1.66 : 1\n    ']
"[u'\nBudget:        $3,700,000        \n\n      (estimated)\n']","[u'Tokuma Japan Communications', u'Studio Ghibli', u'Nibariki']",[u'Dolby'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $48,000,000        \n\n      (estimated)\n']","[u'Paramount Pictures', u'Lucasfilm']","[u'70 mm 6-Track', u'Dolby']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $25,000,000        \n\n      (estimated)\n']",[u'Warner Bros.'],[u'Dolby SR'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $19,000,000        \n\n      (estimated)\n']","[u'Strong Heart/Demme Production', u'Orion Pictures']",[u'Dolby SR'],,[u'Color'],[u'\nAspect Ratio: 1.85 : 1\n    ']
"[u'\nBudget:        $102,000,000        \n\n      (estimated)\n']","[u'Carolco Pictures', u'Pacific Western', u'Lightstorm Entertainment']","[u'70 mm 6-Track', u'CDS', u'Dolby SR', u'Dolby Stereo', u'Mono', u'Auro 11.1', u'Dolby Atmos', u'Dolby Digital']",,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
"[u'\nBudget:        $1,200,000        \n\n      (estimated)\n']","[u'Live Entertainment', u'Dog Eat Dog Productions Inc.']",[u'Dolby Stereo'],,[u'Color'],[u'\nAspect Ratio: 2.35 : 1\n    ']
