,title,location,company,salary,city,state
263,Autonomous Driving Research Scientist – Real-time Robotic Vi...,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
264,Data Operations Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
265,Data Scientist/Analyst,"Dearborn, MI",Millennium Software Incorporated,NaN,Detroit,MI
266,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
267,Data Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
268,Machine Learning for Autonomous Vehicles Research Engineer,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
269,Data Analytical Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
270,R&D Quantitative Analyst – Machine Learning,"Novi, MI 48375",Antea®Group,NaN,Detroit,MI
271,Marketing Research Analyst,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
272,Automated Driving Research Scientist – Real-time Path Planni...,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
273,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
274,Data Scientist,"Troy, MI",Altair Engineering,NaN,Detroit,MI
275,Data Scientist Engineer,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
276,Descriptive Analytics - Data Scientist,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
277,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
278,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
279,Data Scientist,"Dearborn, MI",Ciber,NaN,Detroit,MI
280,Machine Learning for Autonomous Vehicles Research Engineer,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
281,Data Scientist/Analyst,"Troy, MI",Altair Engineering,NaN,Detroit,MI
282,Data Analytical Scientist,"Farmington Hills, MI",Mango Languages,NaN,Detroit,MI
283,R&D Quantitative Analyst – Machine Learning,"Detroit, MI",St John Hospital & Medical Center,NaN,Detroit,MI
284,Data Analytical Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
285,Descriptive Analytics - Data Scientist,"Dearborn, MI",Ford Motor Company,NaN,Detroit,MI
